BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuaranteed,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"All Custom Creations, Inc",7656 NW 25th St,POMPANO BEACH,FL,33063,10776,PIF,90000,45000,7.25,84,2010,3/11/10,3/9/10,-2,1/31/17,0,,,,,,,541410,Interior Design Services,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Aegis Fire and Integrated Serv,156 Industrial Loop South,Orange Park,FL,32073,13132,PIF,200000,180000,5.25,36,2010,3/11/10,3/9/10,-2,2/21/13,0,,,,,,,238290,Other Building Equipment Contractors,18,PATRIOT EX,Patriot Express,Fidelity Bank,"3490 Piedmont Rd, Ste 124",ATLANTA,GA,30305
"Annette M. Wellington-Hall, In",8910 Miramar Pkwy,Miramar,FL,33025,1344,PIF,25000,22500,8,84,2010,1/12/10,1/11/10,-1,12/5/16,0,,,,,,,624120,Services for the Elderly and Persons with Disabilities,12,COMM EXPRS,Community Express,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
Flash Back Diner,220 South Federal Hwy.,Hallandale,FL,33009,1483,EXEMPT,350000,175000,6.5,84,2010,9/2/10,9/1/10,-1,7/26/17,0,,,,,,,722110,Full-Service Restaurants,54,SBA EXPRES,FA$TRK (Small Loan Express),TotalBank,100 SE 2nd St,MIAMI,FL,33131
A F S Carriers LLC,14250 SW 35 Street.,Miami,FL,33175,1506,EXEMPT,200000,100000,6.5,84,2010,3/11/10,3/10/10,-1,2/1/17,0,,,,,,,484121,"General Freight Trucking, Long Distance, Truckload",14,SBA EXPRES,FA$TRK (Small Loan Express),TotalBank,100 SE 2nd St,MIAMI,FL,33131
"ATLANTIC HEALTH SOLUTIONS, INC",3960 WILLOW TRAIL RUN,PORT ORANGE,FL,32127,6776,PIF,50000,25000,7.75,12,2010,10/6/09,10/5/09,-1,9/30/10,0,,,,,,,621310,Offices of Chiropractors,20,SBA EXPRES,FA$TRK (Small Loan Express),Regions Bank,1900 5th Ave North,BIRMINGHAM,AL,35203
Educare Academy and Childcare,10220 West Terry Street,Bonita Springs,FL,34135,7649,EXEMPT,725000,652500,6,300,2010,1/12/10,1/11/10,-1,9/2/34,0,,,,,,,624410,Child Day Care Services,2,PLP,Guaranty,Pacific Western Bank,"9701 Wilshire Blvd, Ste 700",BEVERLY HILLS,CA,90212
"The Best Foods International,",1170 NE 191st St Apt 46,MIAMI,FL,33179,10771,PIF,25000,22500,6,84,2010,3/23/10,3/22/10,-1,2/13/17,0,,,,,,,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merc,5,PATRIOT EX,Patriot Express,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Viking Diving Services, Inc",2899 SE Grand Dr,PORT SAINT LUCIE,FL,34952,10789,PIF,50000,42500,6,84,2010,1/12/10,1/11/10,-1,12/5/16,0,,,,,,,237110,Water and Sewer Line and Related Structures Construction,9,PATRIOT EX,Patriot Express,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Boca Extreme Cheer Company, LL",22954 Ironwedge Dr,BOCA RATON,FL,33433,10790,PIF,25000,12500,8.35,84,2010,1/12/10,1/11/10,-1,12/5/16,0,,,,,,,624110,Child and Youth Services,7,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
HALINA'S CUSTOM INTERIORS INC,5346 MAIN ST,NEW PORT RICHEY,FL,34652,13568,EXEMPT,15000,13500,7.75,120,2010,3/11/10,3/10/10,-1,1/17/20,0,,,,,,,442299,All Other Home Furnishings Stores,5,COMM EXPRS,Community Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
ADAPTIVE LIVING CONCEPTS INC,2473 EGRETS GLADE DR,JACKSONVILLE,FL,32224,13593,EXEMPT,10000,9000,7.75,120,2010,1/12/10,1/11/10,-1,11/20/19,0,,,,,,,511210,Software Publishers,3,COMM EXPRS,Community Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
JOHN A ALLMAND,4661 KERLE ST,JACKSONVILLE,FL,32205,14395,PIF,10000,5000,9.75,84,2010,7/2/10,7/1/10,-1,5/25/17,0,,,,,,,541410,Interior Design Services,1,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
LEGACY WEALTH MANAGEMENT INC,7890 PETERS ROAD,PLANTATION,FL,33324,15302,EXEMPT,150000,127500,6,84,2010,7/2/10,7/1/10,-1,5/25/17,0,,,,,,,523910,Miscellaneous Intermediation,9,OTH 7A,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Aldo M. Leiva, P.A.",9155 Dadeland Blvd. Suite 120,MIAMI,FL,33156,16472,PIF,40000,20000,6.25,84,2010,8/28/10,8/27/10,-1,7/21/17,0,,,,,,,541110,Offices of Lawyers,3,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
"Elite Holdings of Manatee, LLC",6447 33rd St E.,Sarasota,FL,34243,17460,EXEMPT,306000,275400,5.75,300,2010,3/11/10,3/10/10,-1,10/30/34,0,,,,,,,238220,"Plumbing, Heating, and Air-Conditioning Contractors",15,PLP,Guaranty,Bank of the Ozarks,17901 Chenal Pkwy,LITTLE ROCK,AR,72223
PJ BRADFORD RESTAURANT GROUP L,5414 DEEP LAKE RD #1152,OVIEDO,FL,32765,3,CHGOFF,55200,27600,7.25,72,2016,4/1/16,4/1/16,0,3/1/22,1,2018,50694,4506,3/23/18,1439,48,722513,Limited-Service Restaurants,24,SBA EXPRES,FA$TRK (Small Loan Express),Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
"Infinity Woodworks, Corp.",3884 NW 2ND ST,MIAMI,FL,33126,4,CHGOFF,35000,17500,5.4,50,2015,3/12/15,3/12/15,0,4/20/19,1,2018,35009,-9,3/20/18,396,13,321999,All Other Miscellaneous Wood Product Manufacturing,8,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
The White Dress Bridal Inc,11036 MERIDIAN DR N,POMPANO BEACH,FL,33076,5,CHGOFF,25000,12500,7.15,8,2012,10/7/11,10/7/11,0,6/3/12,1,2018,15043,9957,3/20/18,-2116,-71,448190,Other Clothing Stores,14,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"MARK L FORNARIS, PA.",20532 NW 12 St,MIAMI,FL,33126,7,CHGOFF,40000,20000,8.35,1,2011,2/23/11,2/23/11,0,3/25/11,1,2018,17582,22418,3/19/18,-2551,-85,541110,Offices of Lawyers,7,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"BIAMAX, INC.",12558 80th Ln N,WEST PALM BEACH,FL,33412,9,CHGOFF,85000,42500,5.4,46,2015,10/28/14,10/28/14,0,8/8/18,1,2018,82974,2026,3/15/18,146,5,443141,Household Appliance Stores,3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"MC Signs, LLC",746 S 3rd Street,JACKSONVILLE BEACH,FL,32250,11,CHGOFF,150000,127500,6,86,2014,8/27/14,8/27/14,0,9/19/21,1,2018,120477,29523,3/15/18,1284,43,339950,Sign Manufacturing,4,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
Songchai LLC,951 Brickell Ave Ste 2604,MIAMI,FL,33131,13,CHGOFF,150000,127500,6,79,2014,7/22/14,7/22/14,0,1/16/21,1,2018,122497,27503,3/13/18,1040,35,812199,Other Personal Care Services,2,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"COLE CONSTRUCTION MANAGEMENT,",345 SW 9TH AVE,BOYNTON BEACH,FL,33435,15,CHGOFF,20000,10000,7.8,69,2016,8/23/16,8/23/16,0,4/24/22,1,2018,18931,1069,3/8/18,1508,50,238910,Site Preparation Contractors,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Personal Pediatric Care PLLC,3012 Starkey Boulevard,Trinity,FL,34655,17,CHGOFF,30000,15000,6,44,2014,9/24/14,9/24/14,0,5/6/18,1,2018,29850,150,3/7/18,60,2,621111,Offices of Physicians (except Mental Health Specialists),1,SBA EXPRES,FA$TRK (Small Loan Express),Suncoast CU,6804 E Hillsborough Ave,TAMPA,FL,33610
"Smart Tell, LLC",5014 E. Busch Blvd. # 117,TAMPA,FL,33617,18,CHGOFF,80000,68000,6,103,2014,8/13/14,8/13/14,0,1/28/23,1,2018,73963,6037,3/1/18,1794,60,811213,Communication Equipment Repair and Maintenance,1,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"Smartklean, Corp.",3250 NE 1st Ave Apt 804,MIAMI,FL,33137,20,CHGOFF,45000,22500,8.5,15,2012,2/16/12,2/16/12,0,5/11/13,1,2018,29420,15580,2/27/18,-1753,-58,454111,Electronic Shopping,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Inkology, Inc.",398 CAMINO GARDENS BLVD,BOCA RATON,FL,33432,22,CHGOFF,40000,20000,7.92,1,2013,12/18/12,12/18/12,0,1/17/13,1,2018,3199,36801,2/23/18,-1863,-62,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,6,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Oriental Packing Company,12221 SW 104 Terrace,MIAMI,FL,33186,23,CHGOFF,350000,262500,6.25,112,2016,2/10/16,2/10/16,0,4/23/25,1,2018,339635,10365,2/23/18,2616,87,424490,Other Grocery and Related Products Merchant Wholesalers,10,SLA,Lender Advantage Initiative,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772
The White Dress Bridal Inc,2005 S Federal Highway,FORT LAUDERDALE,FL,33316,24,CHGOFF,25400,12700,7.15,11,2012,10/7/11,10/7/11,0,9/1/12,1,2018,5420,19980,2/22/18,-2000,-67,448190,Other Clothing Stores,14,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Dr Auto Care, LLC",6500 West  Commercial Blvd.,FORT LAUDERDALE,FL,33319,25,CHGOFF,50000,25000,6.5,41,2010,8/9/10,8/9/10,0,12/21/13,1,2018,24916,25084,2/22/18,-1524,-51,811198,All Other Automotive Repair and Maintenance,4,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
TELECOMMUNICATION CONEXXIONS O,5485-3 LEE STREET,LEHIGH ACRES,FL,33971,26,CHGOFF,15000,12750,7.75,38,2011,1/20/11,1/20/11,0,3/5/14,1,2018,6465,8535,2/21/18,-1449,-48,811213,Communication Equipment Repair and Maintenance,30,COMM EXPRS,Community Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
"B & M Equipment, LLC",5067 US Highway 1,Grant,FL,32949,28,CHGOFF,150000,75000,5.95,58,2016,11/12/15,11/12/15,0,8/17/20,1,2018,149802,198,2/14/18,915,31,238990,All Other Specialty Trade Contractors,40,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
Toledo Transport Corporation,11364 SW 180 Street,MIAMI,FL,33157,30,CHGOFF,150000,127500,6.25,109,2017,10/3/16,10/3/16,0,9/16/25,1,2018,142703,7297,2/13/18,2772,92,484121,"General Freight Trucking, Long Distance, Truckload",2,SLA,Lender Advantage Initiative,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
AEAD TECHNOLOGIES INC,"635 BREVARD AVE., STE. 16",COCOA,FL,32922,37,CHGOFF,7500,6375,7.75,44,2011,6/9/11,6/9/11,0,1/19/15,1,2018,3642,3858,1/31/18,-1108,-37,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equip",1,PATRIOT EX,Patriot Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
H2OS DIVERSITY INC. LLC.,1321 Hansberry Lane,ORMOND BEACH,FL,32174,38,CHGOFF,45000,38250,7,83,2015,10/15/14,10/15/14,0,8/9/21,1,2018,35917,9083,1/31/18,1286,43,541612,Human Resources and Executive Search Consulting Services,21,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"TASTE OF GRACE, LLC",8705 S US HIGHWAY 1,PORT SAINT LUCIE,FL,34952,39,CHGOFF,80000,40000,7.65,62,2016,12/16/15,12/16/15,0,1/18/21,1,2018,67802,12198,1/29/18,1085,36,722513,Limited-Service Restaurants,20,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Silcon, Inc",8329 NW 66 Street,Miami,FL,33166,42,CHGOFF,150000,75000,6.25,49,2012,7/3/12,7/3/12,0,7/12/16,1,2018,149980,20,1/23/18,-560,-19,334111,Electronic Computer Manufacturing,12,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Inferno Holdings Shadowwood Sq,2745 Avenue Au Soleil,Gulf Stream,FL,33483,44,CHGOFF,290500,217875,6.25,113,2016,9/9/16,9/9/16,0,12/21/25,1,2018,178508,111992,1/19/18,2893,96,722513,Limited-Service Restaurants,28,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
"City Chick, LLC",9228 Sloane St,Orlando,FL,32827,46,CHGOFF,586000,439500,5.5,91,2015,7/8/15,7/8/15,0,12/28/22,1,2018,520901,65099,1/18/18,1805,60,722513,Limited-Service Restaurants,40,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"34 X 37 Enterprises, LLC",27217 Fern Chapel,WESLEY CHAPEL,FL,33544,47,CHGOFF,50000,42500,7,108,2013,9/11/13,9/11/13,0,7/26/22,1,2018,48339,1661,1/17/18,1651,55,451130,"Sewing, Needlework, and Piece Goods Stores",4,SLA,Lender Advantage Initiative,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
Kett Enterprises Inc,1147 Lincoln Street,HOLLYWOOD,FL,33019,48,CHGOFF,40000,20000,7.25,30,2011,4/5/11,4/5/11,0,9/21/13,1,2018,25500,14500,1/16/18,-1578,-53,561730,Landscaping Services,7,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
Premium Brazilian Decking,1207 Sherman Ave,TAVARES,FL,32778,51,CHGOFF,150000,127500,6,102,2015,6/4/15,6/4/15,0,10/20/23,1,2018,135935,14065,1/10/18,2109,70,442210,Floor Covering Stores,2,SLA,Lender Advantage Initiative,Independence Bank,1370 S County Trl,EAST GREENWICH,RI,2818
"SBSC, LLC",2000 North Bayshore Drive Sui,MIAMI,FL,33137,52,CHGOFF,65000,55250,6,114,2015,12/24/14,12/24/14,0,5/5/24,1,2018,62973,2027,1/10/18,2307,77,624190,Other Individual and Family Services,15,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"KGS Pizza, LLC",7186 Mill Run Circle,Naples,FL,34114,54,CHGOFF,205000,153750,6.25,113,2016,8/10/16,8/10/16,0,11/21/25,1,2018,203833,1167,1/8/18,2874,96,722511,Full-Service Restaurants,28,PLP,Guaranty,MidWestOne Bank,102 S Clinton St,IOWA CITY,IA,52240
Morar Trucking Inc.,3017 Marta Cir Apt 201,KISSIMMEE,FL,34741,56,CHGOFF,29000,14500,9,43,2014,3/24/14,3/24/14,0,10/4/17,1,2018,28212,788,1/2/18,-90,-3,484110,"General Freight Trucking, Local",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Street Masters Inc.,460 SW 132 nd Ave,MIAMI,FL,33184,57,CHGOFF,21600,10800,9,37,2013,9/16/13,9/16/13,0,9/30/16,1,2018,10803,10797,1/2/18,-459,-15,512191,Teleproduction and Other Postproduction Services,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"1528 Brands, LLC",4400 W SPRUCE ST APT 180,TAMPA,FL,33607,58,CHGOFF,45500,22750,9.65,27,2013,12/19/12,12/19/12,0,3/9/15,1,2018,20927,24573,1/2/18,-1030,-34,722511,Full-Service Restaurants,20,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Richard S. Morrow, DMD, P.A.",124 Laurel Road,HOLLYWOOD,FL,33021,59,CHGOFF,75000,37500,7.75,0,2010,9/17/10,9/17/10,0,9/17/10,1,2018,39362,35638,1/2/18,-2664,-89,621210,Offices of Dentists,9,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Jesus Ortiz-Cancel DBA Jesus O,323 KINGFISH DR,KISSIMMEE,FL,34759,61,CHGOFF,62700,31350,3.99,20,2014,4/3/14,4/3/14,0,11/24/15,1,2017,30614,32086,12/29/17,-766,-26,484110,"General Freight Trucking, Local",1,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
Phi Solutions Group Inc,6447 NW 82nd Avenue,Miami,FL,33166,62,CHGOFF,50000,25000,6.75,46,2014,8/20/14,8/20/14,0,5/31/18,1,2017,49837,163,12/29/17,153,5,811111,General Automotive Repair,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
HOT BUCKLES INC,4097 N 28th Way,HOLLYWOOD,FL,33020,64,CHGOFF,60000,30000,6,22,2011,4/6/11,4/6/11,0,1/25/13,1,2017,51931,8069,12/29/17,-1799,-60,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,7,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
Charles Goldberg,"7499 W. Atlantic Avenue, Suit",Delray Beach,FL,33446,65,CHGOFF,25000,21250,8,61,2011,2/9/11,2/9/11,0,2/13/16,1,2017,18367,6633,12/28/17,-684,-23,524210,Insurance Agencies and Brokerages,2,PATRIOT EX,Patriot Express,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
"Westward Bound, Inc","1013 N. Collier Blvd., Suite",Marco Island,FL,34145,66,CHGOFF,25000,12500,5.95,47,2014,8/20/14,8/20/14,0,6/30/18,1,2017,21459,3541,12/28/17,184,6,722511,Full-Service Restaurants,0,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
CHADAM INC.,525 3RD ST N,NEPTUNE BEACH,FL,32266,68,CHGOFF,7500,6375,7.5,66,2010,9/7/10,9/7/10,0,2/8/16,1,2017,4872,2628,12/28/17,-689,-23,311920,Coffee and Tea Manufacturing,9,COMM EXPRS,Community Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
"Greater Tampa Bay Health Care,",1210 Millennium Parkway Ste.,BRANDON,FL,33511,69,CHGOFF,150000,127500,6,86,2015,10/27/14,10/27/14,0,11/19/21,1,2017,119869,30131,12/28/17,1422,47,621610,Home Health Care Services,35,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"Centre D'Elle, P.A.",470 W New England Avenue,Winter Park,FL,32789,70,CHGOFF,100000,50000,5.75,49,2015,12/15/14,12/15/14,0,12/24/18,1,2017,98444,1556,12/20/17,369,12,812199,Other Personal Care Services,2,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
Kingdom Tax Services LLC,548 NE Double Run Road,LAKE CITY,FL,32055,80,CHGOFF,25000,12500,6.75,40,2015,11/13/14,11/13/14,0,2/25/18,1,2017,23940,1060,11/27/17,90,3,541213,Tax Preparation Services,8,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"MILLER, KAREN K",1520 SE 46TH LN STE B,CAPE CORAL,FL,33904,81,CHGOFF,7500,6750,8,55,2013,5/6/13,5/6/13,0,11/11/17,1,2017,5042,2458,11/27/17,-16,-1,453220,"Gift, Novelty, and Souvenir Stores",0,EXPRES EXP,FA$TRK (Small Loan Express),"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
"JoyTech Construction, Inc.","3499 NW 97th Blvd, Suite 9",Gainesville,FL,32606,82,CHGOFF,25000,21250,8,21,2010,9/16/10,9/16/10,0,6/7/12,1,2017,9728,15272,11/22/17,-1994,-66,236220,Commercial and Institutional Building Construction,5,COMM EXPRS,Community Express,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
NS Eyewear Inc,6701 Southport Dr,Boynton Beach,FL,33472,85,CHGOFF,43000,21500,6.75,29,2013,3/12/13,3/12/13,0,7/30/15,1,2017,42892,108,11/14/17,-838,-28,423460,Ophthalmic Goods Merchant Wholesalers,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Presidentialelection.com,4063 Salisbury Road,JACKSONVILLE,FL,32216,86,CHGOFF,50000,42500,6,82,2014,6/13/14,6/13/14,0,3/8/21,1,2017,39000,11000,11/14/17,1210,40,454111,Electronic Shopping,1,SLA,Lender Advantage Initiative,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
MULTI QUALITY FINANCIAL SERVIC,7951 Riviera BV,Miramar,FL,33023,87,CHGOFF,10000,5000,5.75,59,2015,7/17/15,7/17/15,0,5/21/20,1,2017,8978,1022,11/13/17,920,31,423430,Computer and Computer Peripheral Equipment and Software Merchant Whole,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"LU AMERICAS INVESTMENTS, CORP",1455 NW 107TH AVE SUITE C21,DORAL,FL,33172,88,CHGOFF,20000,10000,9.75,9,2013,7/2/13,7/2/13,0,3/29/14,1,2017,14073,5927,11/13/17,-1325,-44,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),4,SBA EXPRES,FA$TRK (Small Loan Express),"Citibank, N.A.",701 East 60th St North,SIOUX FALLS,SD,57104
Upstart Internet LLC,2101 Vista Parkway Suite 4034,WEST PALM BEACH,FL,33411,89,CHGOFF,100000,85000,6,94,2015,5/14/15,5/14/15,0,2/1/23,1,2017,85261,14739,11/8/17,1911,64,541810,Advertising Agencies,3,SLA,Lender Advantage Initiative,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
