BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
Parson's Chicken & Fish LLC,2946 -2952 ARMITAGE AVE,CHICAGO,IL,60647,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,755000,566250,10/31/17,2018,1/31/18,PLP,Guaranty,5.25,120,722511,Full-Service Restaurants,EXEMPT,0,,0,0,155
Parson's Chicken & Fish LLC,2946 -2952 ARMITAGE AVE,CHICAGO,IL,60647,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,69500,34750,10/31/17,2018,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,722511,Full-Service Restaurants,EXEMPT,0,,0,1,85
"Advance World Trade, Inc.",4321 N. KNOX AVE,CHICAGO,IL,60641,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,500000,375000,10/5/17,2018,,PLP,Guaranty,4.5,60,423490,Other Professional Equipment and Supplies Merchant Wholesalers,COMMIT,0,,0,0,45
Greenlawn Landscaping Inc.,3915 W. DEVON AVE,CHICAGO,IL,60659,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,300000,150000,9/15/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,541320,Landscape Architectural Services,COMMIT,0,,0,0,20
Sovereign Rehabilitation of Il,2835 N. Sheffield #401,CHICAGO,IL,60657,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,100000,50000,9/5/17,2017,12/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",EXEMPT,0,,0,1,8
Sovereign Rehabilitation of Il,2835 N. Sheffield #401,CHICAGO,IL,60657,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,220000,110000,9/1/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),6.25,96,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",COMMIT,0,,0,0,8
Tactical Security Chicago LLC,"114 S. Genesee St, Suite 504",WAUKEGAN,IL,60085,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,350000,175000,8/16/17,2017,11/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,561612,Security Guards and Patrol Services,EXEMPT,0,,0,1,85
"George G, LLC",945 N. Rush St. 3rd Fl,CHICAGO,IL,60611,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,200000,100000,7/18/17,2017,10/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,812112,Beauty Salons,EXEMPT,0,,0,1,31
West Supply LLC,4201 W. Wrightwood Ave,CHICAGO,IL,60639,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,100000,50000,6/14/17,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,337124,Metal Household Furniture Manufacturing,EXEMPT,0,,0,1,41
"Alamode Foods, Inc.","9240 W. Belmont Avenue, Unit",FRANKLIN PARK,IL,60131,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,150000,75000,5/2/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5,84,311920,Coffee and Tea Manufacturing,EXEMPT,0,,0,1,12
Domicile Furniture Ltd,3701 W. Lunt Avenue,LINCOLNWOOD,IL,60712,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,3300000,2475000,4/27/17,2017,,PLP,Guaranty,3.73,300,442110,Furniture Stores,CANCLD,0,,0,0,24
"Fan Ticket Hub, LLC",1598 Cottonwood Drive,GLENVIEW,IL,60026,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,125000,2/23/17,2017,3/1/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,454110,Electronic Shopping and Mail-Order Houses,EXEMPT,0,,0,1,1
"Something Flyer, LLC",10552 S Western Avenue,CHICAGO,IL,60643,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,185000,92500,1/23/17,2017,2/1/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,300,541921,"Photography Studios, Portrait",EXEMPT,0,,0,0,5
"Producer Resources, Inc.",1431 Opus Place Suite 603,DOWNERS GROVE,IL,60515,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,300000,150000,12/21/16,2017,12/21/16,SBA EXPRES,FA$TRK (Small Loan Express),6,84,524298,All Other Insurance Related Activities,EXEMPT,0,,0,1,14
"ETC Creative, Inc.",1404 Seward Unit 1,EVANSTON,IL,60202,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,125000,12/19/16,2017,12/19/16,SBA EXPRES,FA$TRK (Small Loan Express),6,84,541922,Commercial Photography,EXEMPT,0,,0,1,3
Moreno Architects Ltd,218 A. Wabash Avenue Suite 20,CHICAGO,IL,60604,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,350000,175000,11/21/16,2017,12/1/16,SBA EXPRES,FA$TRK (Small Loan Express),4.5,84,541310,Architectural Services,EXEMPT,0,,0,1,27
Pro-Ject Innovations Inc.,213 W. Institute Place Suite,CHICAGO,IL,60610,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,125000,10/25/16,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,541890,Other Services Related to Advertising,EXEMPT,0,,0,1,8
Pro-Ject Innovations Inc.,213 W. Institute Place Suite,CHICAGO,IL,60610,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,100000,50000,10/25/16,2017,11/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,541890,Other Services Related to Advertising,EXEMPT,0,,0,0,8
VS Networks LLC,1512 N. Fermont,CHICAGO,IL,60642,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,350000,175000,10/4/16,2017,10/4/16,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,541519,Other Computer Related Services,PIF,0,,0,0,34
True Reach LLC Lincoln Square,3030 North Racine,CHICAGO,IL,60657,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,200000,100000,9/15/16,2016,9/15/16,SBA EXPRES,FA$TRK (Small Loan Express),5.25,72,713940,Fitness and Recreational Sports Centers,EXEMPT,0,,0,0,17
"Gordon Law Offices, Ltd",211 W. Wacker Drive Suite 500,CHICAGO,IL,60606,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,125000,9/14/16,2016,9/14/16,SBA EXPRES,FA$TRK (Small Loan Express),5,84,541110,Offices of Lawyers,EXEMPT,0,,0,1,8
Hot Pan LLC,227-229 W. Wilson Street,BATAVIA,IL,60510,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,200000,100000,8/5/16,2016,8/5/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,300,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,4
"Staffing Consultants, Inc.","3709 N. Elston Ave., Suite 1",CHICAGO,IL,60618,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,150000,75000,7/14/16,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,264,812990,All Other Personal Services,CANCLD,0,,0,0,45
"Salomon's Trucking, Inc.",1612 W. Ohio,CHICAGO,IL,60622,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,325000,162500,5/18/16,2016,5/18/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,120,484110,"General Freight Trucking, Local",EXEMPT,0,,0,0,10
"Bee-Line Communications, Inc.","100 E. Cook Ave., #200",LIBERTYVILLE,IL,60048,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,125000,5/9/16,2016,5/9/16,SBA EXPRES,FA$TRK (Small Loan Express),6,84,541910,Marketing Research and Public Opinion Polling,EXEMPT,0,,0,0,13
Optimal Health Chiropractice &,233 S. Wacker Drive #LL1-054,CHICAGO,IL,60606,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,260000,130000,3/10/16,2016,5/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,621310,Offices of Chiropractors,PIF,0,,0,0,5
Parson's Chicken & Fish LLC,2952 W. Armitage,CHICAGO,IL,60647,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,312000,156000,2/1/16,2016,5/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,445299,All Other Specialty Food Stores,EXEMPT,0,,0,0,115
"M&E Bakery Holdings, LLC",1114 W. Belmont Ave.,Chicago,IL,60657,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,415000,311250,12/2/15,2016,12/2/15,OTH 7A,Guaranty,5.5,120,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,EXEMPT,0,,0,0,35
"George G, LLC",945 N Rush Street Suite 302,Chicago,IL,60610,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,675000,506250,11/17/15,2016,11/17/15,OTH 7A,Guaranty,5.25,96,812112,Beauty Salons,EXEMPT,0,,0,0,26
Ananda II LLC,742 N LaSalle Street Ste 201,Chicago,IL,60654,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,750000,562500,11/3/15,2016,11/3/15,OTH 7A,Guaranty,5.5,300,611699,All Other Miscellaneous Schools and Instruction,EXEMPT,0,,0,0,17
Andrea Horyn,4845 A Oakton Street,Skokie,IL,60077,INDIVIDUAL,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,50000,42500,5/6/11,2011,8/1/11,RLA,Rural Lender Advantage,5.5,72,611519,Other Technical and Trade Schools,PIF,0,,0,0,6
AMY HANSEN,4707N DAMEN AVENUE,CHICAGO,IL,60625,INDIVIDUAL,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,27500,23375,2/16/11,2011,8/1/11,RLA,Rural Lender Advantage,5.5,60,311330,Confectionery Manufacturing from Purchased Chocolate,PIF,0,,0,0,2
"TOTAL RESTORATION, INC.",5626 W. GROVER,CHICAGO,IL,60630,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,100000,85000,2/14/11,2011,8/1/11,RLA,Rural Lender Advantage,5.5,72,236118,Residential Remodelers,PIF,0,,0,0,3
"FEW SPIRITS, LLC",918 CHICAGO AVENUE,EVANSTON,IL,60202,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,250000,225000,11/3/10,2011,4/1/11,RLA,Rural Lender Advantage,6,84,312130,Wineries,PIF,0,,0,0,2
S PONCET LLC,2322 N. TRIPP AVENUE,CHICAGO,IL,60639,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,50000,45000,10/29/10,2011,12/1/10,RLA,Rural Lender Advantage,5.5,60,339999,All Other Miscellaneous Manufacturing,PIF,0,,0,0,2
LICKITY SPLIT FROZEN CUSTARD A,6056 NORTH BROADWAY STREET,CHICAGO,IL,60660,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,110000,99000,5/21/10,2010,6/1/11,OTH 7A,Guaranty,6,84,722213,Snack and Nonalcoholic Beverage Bars,PIF,0,,0,0,6
CALLY'S CURLS AND COMPANY,1785 WEST HOWARD STREET,CHICAGO,IL,60626,PARTNERSHIP,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,60000,54000,1/25/10,2010,6/1/11,OTH 7A,Guaranty,5.5,60,812112,Beauty Salons,PIF,0,,0,0,4
"All Pro Floor Care, Inc.",S. DIRKSEN PARKWAY,SPRINGFIELD,IL,62703,CORPORATION,Williamsville State Bank & Trust,512 W Main St,WILLIAMSVILLE,IL,62693,150000,127500,3/11/11,2011,5/1/11,RLA,Rural Lender Advantage,6,120,561740,Carpet and Upholstery Cleaning Services,PIF,0,,0,0,2
"H & S Ice Cream, LLC",102 W LIBERTY DR,WHEATON,IL,60187,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,284000,142000,2/1/18,2018,2/28/18,SBA EXPRES,FA$TRK (Small Loan Express),5.25,300,445299,All Other Specialty Food Stores,EXEMPT,0,,0,0,20
"H & S Ice Cream, LLC",102 W LIBERTY DR,WHEATON,IL,60187,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,66000,33000,2/1/18,2018,2/28/18,SBA EXPRES,FA$TRK (Small Loan Express),5.25,120,445299,All Other Specialty Food Stores,EXEMPT,0,,0,0,20
HDF Entertainment LLC,208 W. Main Street,SAINT CHARLES,IL,60174,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,150000,75000,4/3/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,722511,Full-Service Restaurants,EXEMPT,0,,0,0,35
Element Events LLC,5100 Academy Drive Suite 200,LISLE,IL,60532,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,250000,125000,9/14/16,2016,11/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.75,87,722320,Caterers,PIF,0,,0,0,26
Concierge Medical Spa Incorpor,104 S. Cook Street Ste B 135,BARRINGTON,IL,60010,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,75000,37500,3/11/16,2016,11/1/16,SBA EXPRES,FA$TRK (Small Loan Express),6,72,621399,Offices of All Other Miscellaneous Health Practitioners,EXEMPT,0,,0,1,18
Concierge Medical Spa Incorpor,1722 Holly Court,Long Grove,IL,60047,CORPORATION,Wheaton Bank & Trust Company,100 N Wheaton Ave,WHEATON,IL,60187,385000,288750,3/10/16,2016,11/1/16,OTH 7A,Guaranty,5.75,66,621399,Offices of All Other Miscellaneous Health Practitioners,EXEMPT,0,,0,0,18
SSS Holdings Inc.,1925 Green Bay Road,EVANSTON,IL,60201,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,930000,697500,2/5/18,2018,,OTH 7A,Guaranty,7,300,447110,Gasoline Stations with Convenience Stores,COMMIT,0,,0,0,8
PMM Partners Inc.,1375 E Woodfield Rd Suite 750,Schaumburg,IL,60173,INDIVIDUAL,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,5000000,3750000,6/16/17,2017,6/30/17,OTH 7A,Guaranty,6.5,120,523930,Investment Advice,EXEMPT,0,,0,0,3
"Lo Rez Brewing, LLC",S. Carpenter Street,Chicago,IL,60608,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,60000,51000,9/16/16,2016,10/1/16,SLA,Lender Advantage Initiative,6.25,120,312120,Breweries,EXEMPT,0,,0,0,3
2546-50 Princton LLC,300 W. 26Th Street,Chicago,IL,60616,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,315000,236250,7/20/16,2016,,OTH 7A,Guaranty,6.25,300,722513,Limited-Service Restaurants,CANCLD,0,,0,0,40
MKA Advisors LLC,18-5 E Dundee Rd,BARRINGTON,IL,60010,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,3650000,2737500,4/14/16,2016,4/14/16,OTH 7A,Guaranty,6.25,120,523120,Securities Brokerage,EXEMPT,0,,0,0,2
"Lo Rez Brewing, LLC",2101 S. Carpenter St,Chicago,IL,60608,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,350000,262500,2/19/16,2016,3/1/16,SLA,Lender Advantage Initiative,6.25,126,312120,Breweries,EXEMPT,0,,0,0,6
"RPS Ventures, Inc.",401 S. Frontage Road,Burr Ridge,IL,60527,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,350000,262500,11/18/15,2016,12/1/15,OTH 7A,Guaranty,6,120,523930,Investment Advice,EXEMPT,0,,0,0,6
"Merletto Real Estate Holdings,",2372 Indian Trail,Aurora,IL,60506,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,5000000,3750000,6/23/15,2015,9/1/15,OTH 7A,Guaranty,6,297,445110,Supermarkets and Other Grocery (except Convenience) Stores,EXEMPT,0,,0,0,160
2546-50 Princton LLC,300 W 26th Street,Chicago,IL,60616,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,891500,668625,3/19/15,2015,5/1/15,OTH 7A,Guaranty,6,300,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,85
1634 W Chicago LLC,1634 810 West Chicago / North,Chicago,IL,60616,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,1208500,906375,3/19/15,2015,5/1/15,OTH 7A,Guaranty,6,300,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,85
"O'Hare Shell Partners, LLC",4111 N Manheim Rd,Schiller Park,IL,60176,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,5000000,3750000,12/23/14,2015,1/1/15,OTH 7A,Guaranty,5.75,300,447110,Gasoline Stations with Convenience Stores,EXEMPT,0,,0,0,21
Lo Rez Brewing LLC,Cortland St,Chicago,IL,60647,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,150000,127500,5/8/14,2014,,SLA,Lender Advantage Initiative,6,126,312120,Breweries,CANCLD,0,,0,0,6
BTW Auto Inc,983 E 9th St,Lockport,IL,60441,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,320000,240000,3/27/14,2014,5/1/14,SLA,Lender Advantage Initiative,6,120,811111,General Automotive Repair,EXEMPT,0,,0,0,6
"SJS Melrose Properties, LLC",601 S. 25th Ave,Bellwood,IL,60104,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,2337000,1752750,1/22/14,2014,3/1/14,OTH 7A,Guaranty,6,300,445110,Supermarkets and Other Grocery (except Convenience) Stores,EXEMPT,0,,0,0,20
"Downtown Entertainment II, LLC",213 W . Institute Pl,Chicago,IL,60654,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,1000000,750000,12/9/13,2014,,OTH 7A,Guaranty,6,126,722410,Drinking Places (Alcoholic Beverages),CANCLD,0,,0,0,35
"First Ascent, LLC",1755 S Stewart,Chicago,IL,60616,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,5000000,3750000,7/25/13,2013,2/1/15,OTH 7A,Guaranty,6,312,713940,Fitness and Recreational Sports Centers,EXEMPT,0,,0,0,20
"Black Lion Audio, Inc.",1800 W Cuyler,Chicago,IL,60613,CORPORATION,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,450000,337500,2/20/13,2013,3/1/13,OTH 7A,Guaranty,6,120,334310,Audio and Video Equipment Manufacturing,PIF,0,,0,0,18
The Blackstone Golf Property O,9700 St. Andrew,Marengo,IL,60152,PARTNERSHIP,West Town Bank & Trust,7820 W 26th St,NORTH RIVERSIDE,IL,60546,1700000,1275000,6/11/12,2012,7/1/12,OTH 7A,Guaranty,6,300,713910,Golf Courses and Country Clubs,PIF,0,,0,0,33
"SKUDDLEBUTTS GLEN ELLYN, LLC",430 E. ROOSEVELT ROAD,GLEN ELLYN,IL,60137,CORPORATION,West Suburban Bank,711 S Meyers Rd,LOMBARD,IL,60148,232000,208800,12/28/10,2011,2/1/11,OTH 7A,Guaranty,5.5,41,722211,Limited-Service Restaurants,CHGOFF,1,9/15/14,190300,0,28
"MENDEL PLUMBING & HEATING, INC",3N640 NORTH 17TH STREET,ST. CHARLES,IL,60174,CORPORATION,West Suburban Bank,711 S Meyers Rd,LOMBARD,IL,60148,1440000,1296000,11/5/10,2011,2/1/11,OTH 7A,Guaranty,7.25,72,238220,"Plumbing, Heating, and Air-Conditioning Contractors",PIF,0,,0,0,29
Wellmans Lawn Care LLC,5409 Bunting Road,Springfield,IL,62711,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,257000,192750,9/1/17,2017,9/30/17,OTH 7A,Guaranty,5.25,72,561730,Landscaping Services,EXEMPT,0,,0,0,14
"Cabinetland of Springfield, In",Peoria Road,Springfield,IL,62702,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,1285000,963750,5/19/17,2017,7/31/17,OTH 7A,Guaranty,4.75,125,442299,All Other Home Furnishings Stores,EXEMPT,0,,0,0,8
"Kulavic's Auto Body, Inc.",4601 West Wabash,Springfield,IL,62707,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,450000,337500,4/26/17,2017,5/31/17,OTH 7A,Guaranty,5.25,84,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",EXEMPT,0,,0,0,12
"Casa Real of Springfield, LLC",3100 W White Oaks Dr,Springfield,IL,62704,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,300000,225000,3/4/15,2015,5/1/15,OTH 7A,Guaranty,5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,30
"JB AND RC PROPERTIES, LLC",418 S KOKE MILL ROAD,SPRINGFIELD,IL,62711,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,400000,360000,12/10/10,2011,3/1/11,OTH 7A,Guaranty,5.5,240,722211,Limited-Service Restaurants,PIF,0,,0,0,1
"J AND J OPERATIONS, LLC",4441 ASH GROVE DRIVE,SPRINGFIELD,IL,62711,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,200000,180000,12/10/10,2011,2/1/11,OTH 7A,Guaranty,5.5,120,722211,Limited-Service Restaurants,EXEMPT,0,,0,0,20
"CERTIFIED TANK MANUFACTURING,",2500 RICHARDS LANE,SPRINGFIELD,IL,62704,CORPORATION,West Central Bank,400 E Buchanan St,ASHLAND,IL,62612,810000,729000,1/19/10,2010,8/1/10,OTH 7A,Guaranty,6,120,332420,Metal Tank (Heavy Gauge) Manufacturing,EXEMPT,0,,0,0,33
"Digital Edge Signs, Inc.",248 W. Depot St,Antioch,IL,60002,CORPORATION,Waukesha State Bank,151 E St. Paul Ave,WAUKESHA,WI,53188,53000,45050,7/31/13,2013,8/1/13,PLP,Guaranty,6,120,323111,Commercial Gravure Printing,EXEMPT,0,,0,0,4
Effing Brew Company,TBD,Effingham,IL,62401,CORPORATION,Washington Savings Bank,200 S Banker St,EFFINGHAM,IL,62401,350000,262500,7/13/17,2017,10/31/17,OTH 7A,Guaranty,5.79,96,312120,Breweries,EXEMPT,0,,0,0,10
Trader Concrete Foundations LL,Richland Elevator Rd.,Pleasant Plains,IL,62677,CORPORATION,Warren-Boynton State Bank,702 W Illinois St,NEW BERLIN,IL,62670,412000,309000,11/21/16,2017,2/1/17,OTH 7A,Guaranty,6.25,120,238120,Structural Steel and Precast Concrete Contractors,EXEMPT,0,,0,0,8
